Year,BGD_Temp_C,BGD_Precip_mm_day,BGD_Humidity_pct,Annual_Anomaly_C,Agricultural_land_pct,GDP_USD,GDP_per_capita_USD,Under5_mortality,Population,Sea_Level_mm,CO2_emissions
2003,25.409166666666668,4.489166666666667,75.64083333333333,0.62,71.6601367442575,60158929188.2556,426.74880754362,70.8,140970351.0,7.728346449,World
2004,25.468333333333334,5.633333333333333,75.24333333333333,0.53,71.6217254359684,65108544250.0425,455.614016909798,66.8,142902856.0,7.712598417,World
2005,25.6525,5.155,76.47583333333334,0.68,71.5295382960744,69476001239.419,480.08585075452,63.0,144715786.0,7.716535425,World
2006,25.734166666666667,4.64,74.83749999999999,0.64,71.2913881846816,71795736172.1561,490.388026533289,59.6,146405973.0,7.885826764,World
2007,25.123333333333335,6.973333333333334,76.4225,0.67,71.1838365214719,79611644974.5571,537.955492792911,56.5,147989278.0,7.960629913,World
2008,25.42833333333333,4.363333333333333,76.11749999999999,0.55,71.0839671199201,91636997370.9772,613.06204104124,53.6,149474264.0,8.303149598,World
2009,25.8175,5.18,74.85333333333334,0.66,71.0301912883153,102475158190.998,679.211477428056,51.1,150873714.0,8.531496054,World
2010,25.840833333333332,4.9799999999999995,75.89666666666666,0.73,70.9917799800261,115275540051.262,757.385280361508,48.7,152201981.0,8.83464566,World
2011,25.474999999999998,4.615833333333334,74.65333333333332,0.61,70.1236844126911,128607482310.357,837.336944695647,46.5,153591076.0,8.897637786,World
2012,25.439999999999998,4.115,73.06583333333333,0.65,70.0622263194284,133310747603.483,859.680536375497,44.4,155070101.0,9.244094479,World
2013,25.473333333333333,4.9775,74.71333333333332,0.68,69.9700391795345,149998957434.186,958.262989798283,42.4,156532141.0,8.913385818,World
2014,25.978333333333335,4.605833333333334,72.14833333333333,0.75,69.900898824614,172886611653.786,1094.46199702838,40.5,157964929.0,,World
2015,25.854166666666668,6.1375,73.83999999999999,0.9,70.3867250518553,195146608978.131,1224.38647668165,38.5,159383179.0,,World
2016,26.1975,7.909166666666667,76.89916666666666,1.02,70.6323269570562,265224515675.034,1649.28380858601,36.7,160811932.0,,World
2017,25.229166666666668,13.376666666666665,81.47500000000001,0.92,70.5794729968503,293732446624.596,1811.08221668646,35.0,162186147.0,,World
2018,25.054166666666664,7.626666666666666,78.88333333333334,0.85,70.694476453868,321362752441.78,1965.24372731467,33.5,163523103.0,,World
2019,25.659166666666664,8.180833333333334,77.295,0.98,72.1902127986479,351231654603.692,2129.79896954606,32.3,164913055.0,,World
2020,25.10166666666667,7.960833333333333,80.93333333333334,1.01,72.4437274333564,373979442362.193,2248.85078828233,31.4,166298024.0,,World
2021,25.662499999999998,6.319166666666667,76.6725,0.85,72.3515402934624,416271647911.014,2482.84917843357,30.9,167658854.0,,World
2022,25.329166666666666,5.840833333333333,78.71833333333333,0.89,72.3706433287272,460131689083.083,2716.48592780431,30.7,169384897.0,,World
2023,25.814999999999998,6.943333333333334,77.01666666666667,1.17,72.311124788429,437415333018.291,2551.01773827307,30.6,171466990.0,,World
